opponent,result,win,loss,margin,location,opponent rating
Old Dominion,1,4,8,42,HOME,0.249476996007373
New Mexico,1,3,9,9,AWAY,0.236699965704469
Troy,1,9,3,6,HOME,0.559089094366952
FCS,1,8,106,7,HOME,0.000769998244192226
New Mexico St,1,3,9,7,HOME,0.135628013475393
FCS,1,8,106,35,HOME,0.000769998244192226
Army,0,9,2,24,AWAY,0.592703055035996
North Texas,0,9,3,40,HOME,0.566226921948455
New Mexico St,0,3,9,8,AWAY,0.135628013475393
Massachusetts,0,4,8,3,AWAY,0.249056873231254
Virginia,0,7,5,21,AWAY,0.523953179912563
Auburn,0,7,5,53,AWAY,0.597819822758721
