opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,34,HOME,0.000769998244192226
Purdue,1,6,6,1,AWAY,0.5428304930475
Toledo,1,7,5,2,HOME,0.486054902807487
Ball St,1,4,8,22,AWAY,0.194642348013845
C Michigan,1,1,11,10,HOME,0.107247264944998
Akron,1,4,8,20,HOME,0.227510841608756
Kent,1,2,10,8,AWAY,0.134175713618153
Buffalo,0,10,3,7,AWAY,0.548891754404769
San Diego St,0,7,5,3,AWAY,0.479206894566261
N Illinois,0,8,5,3,HOME,0.512425574248057
W Michigan,0,7,5,3,AWAY,0.460361066971564
Army,0,9,2,15,HOME,0.592703055035996
