opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,31,HOME,0.000769998244192226
Oregon St,1,2,10,21,AWAY,0.173732331314971
California,1,7,5,7,HOME,0.419560912467013
Oregon,1,8,4,29,HOME,0.505073020726282
Colorado,1,5,7,8,HOME,0.347842752816767
BYU,0,6,6,5,HOME,0.468920807623431
Houston,0,8,4,27,AWAY,0.525693614507003
USC,0,5,7,4,HOME,0.440537069586333
Utah,0,9,4,32,AWAY,0.642840902543242
UCLA,0,3,9,1,AWAY,0.280733958670922
Washington St,0,10,2,41,AWAY,0.674582596015174
Arizona St,0,7,5,1,HOME,0.545411390581512
