opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,52,HOME,0.000769998244192226
Nebraska,1,4,8,5,AWAY,0.414758409178414
ULM,1,6,6,8,AWAY,0.344645210077282
Coastal Car,1,5,7,24,HOME,0.311564379778839
Georgia St,1,2,10,17,HOME,0.192094577935086
South Alabama,1,3,9,21,AWAY,0.198141556916694
ULL,1,6,5,10,HOME,0.470730482744223
Ga Southern,1,9,3,14,AWAY,0.580629140209413
Texas St,1,3,9,5,HOME,0.205154738347006
Boise St,0,10,3,36,HOME,0.650992768654197
Liberty,0,6,6,6,AWAY,0.340221082457989
Appalachian St,0,10,2,11,AWAY,0.659401122251941
