opponent,result,win,loss,margin,location,opponent rating
Utah St,1,10,2,7,HOME,0.667466493543272
Indiana,1,5,7,14,AWAY,0.423952308627547
C Michigan,1,1,11,11,HOME,0.107247264944998
Penn St,1,9,3,4,AWAY,0.697394135264368
Purdue,1,6,6,10,HOME,0.5428304930475
Maryland,1,5,7,21,AWAY,0.461267331603312
Rutgers,1,1,11,4,HOME,0.142195290938339
Arizona St,0,7,5,3,AWAY,0.545411390581512
Northwestern,0,8,5,10,HOME,0.565096527710274
Michigan,0,10,2,14,HOME,0.822928100511648
Ohio St,0,12,1,20,HOME,0.794079344659673
Nebraska,0,4,8,3,AWAY,0.414758409178414
