opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,24,HOME,0.000769998244192226
Old Dominion,1,4,8,3,HOME,0.249476996007373
WKU,1,3,9,26,HOME,0.216702075652369
Southern Miss,1,6,5,3,HOME,0.347237402073064
FL Atlantic,1,5,7,3,AWAY,0.461693554039236
Appalachian St,0,10,2,36,HOME,0.659401122251941
Massachusetts,0,4,8,18,AWAY,0.249056873231254
UAB,0,10,3,21,AWAY,0.521923000912338
MTSU,0,8,5,8,AWAY,0.484435690225168
Tennessee,0,5,7,11,AWAY,0.426213570238814
Marshall,0,8,4,17,AWAY,0.531754889860287
Florida Intl,0,8,4,7,HOME,0.475982875318223
