opponent,result,win,loss,margin,location,opponent rating
Troy,1,9,3,36,AWAY,0.559089094366952
Connecticut,1,1,11,55,HOME,0.0609382834729059
Wyoming,1,6,6,20,AWAY,0.419358145826074
Nevada,1,7,5,4,AWAY,0.440983667473
Colorado St,1,3,9,28,HOME,0.161064288308334
Air Force,1,5,7,10,AWAY,0.419626714314724
BYU,1,6,6,5,HOME,0.468920807623431
Fresno St,1,11,2,7,HOME,0.703094438818044
New Mexico,1,3,9,31,AWAY,0.236699965704469
Utah St,1,10,2,9,HOME,0.667466493543272
Oklahoma St,0,6,6,23,AWAY,0.509986694345833
San Diego St,0,7,5,6,HOME,0.479206894566261
Fresno St,0,11,2,3,HOME,0.703094438818044
