opponent,result,win,loss,margin,location,opponent rating
UCLA,1,3,9,9,AWAY,0.280733958670922
Miami OH,1,6,6,21,HOME,0.45837188133336
FCS,1,8,106,56,HOME,0.000769998244192226
Ohio,1,8,4,4,HOME,0.603861584109007
Connecticut,1,1,11,42,AWAY,0.0609382834729059
Tulane,1,6,6,16,HOME,0.416988084377754
SMU,1,5,7,6,AWAY,0.344428491763609
Navy,1,3,9,42,HOME,0.324077406998877
South Florida,1,7,5,12,HOME,0.43506939815558
East Carolina,1,3,9,50,HOME,0.235473530796368
Temple,0,8,4,7,AWAY,0.574495390132135
UCF,0,12,0,25,AWAY,0.824142322793354
