opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,42,HOME,0.000769998244192226
Utah,1,9,4,14,AWAY,0.642840902543242
Arizona St,1,7,5,7,HOME,0.545411390581512
BYU,1,6,6,28,HOME,0.468920807623431
UCLA,1,3,9,7,AWAY,0.280733958670922
Colorado,1,5,7,14,HOME,0.347842752816767
Stanford,1,8,4,4,HOME,0.61294634639621
Oregon St,1,2,10,19,HOME,0.173732331314971
Washington St,1,10,2,13,AWAY,0.674582596015174
Utah,1,9,4,7,NEUTRAL,0.642840902543242
Auburn,0,7,5,5,NEUTRAL,0.597819822758721
Oregon,0,8,4,3,AWAY,0.505073020726282
California,0,7,5,2,AWAY,0.419560912467013
