opponent,result,win,loss,margin,location,opponent rating
Akron,1,4,8,13,HOME,0.227510841608756
Oklahoma St,1,6,6,6,AWAY,0.509986694345833
West Virginia,1,8,3,16,HOME,0.68824171421713
Texas Tech,1,5,7,9,HOME,0.433867128284314
Kansas,1,3,9,24,AWAY,0.221018492957153
Baylor,1,6,6,14,HOME,0.43300358027017
Kansas St,1,5,7,4,HOME,0.472544202064512
FCS,1,8,106,3,HOME,0.000769998244192226
Iowa,0,8,4,10,AWAY,0.648865014312003
Oklahoma,0,12,1,10,HOME,0.780914806571746
TCU,0,6,6,3,AWAY,0.472750818076519
Texas,0,9,4,14,AWAY,0.624442893770101
