opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,14,HOME,0.000769998244192226
Arizona St,1,7,5,7,HOME,0.545411390581512
E Michigan,1,7,5,3,HOME,0.451471882561525
Boise St,1,10,3,6,AWAY,0.650992768654197
Air Force,1,5,7,4,HOME,0.419626714314724
San Jose St,1,1,11,3,HOME,0.159323559459047
New Mexico,1,3,9,8,AWAY,0.236699965704469
Stanford,0,8,4,21,AWAY,0.61294634639621
Nevada,0,7,5,4,AWAY,0.440983667473
UNLV,0,4,8,3,HOME,0.242047874131288
Fresno St,0,11,2,9,AWAY,0.703094438818044
Hawaii,0,8,5,1,HOME,0.423791787116062
