opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,38,HOME,0.000769998244192226
Navy,1,3,9,28,HOME,0.324077406998877
UNLV,1,4,8,6,AWAY,0.242047874131288
New Mexico,1,3,9,18,HOME,0.236699965704469
Colorado St,1,3,9,8,HOME,0.161064288308334
FL Atlantic,0,5,7,6,AWAY,0.461693554039236
Utah St,0,10,2,10,AWAY,0.667466493543272
Nevada,0,7,5,3,HOME,0.440983667473
San Diego St,0,7,5,4,AWAY,0.479206894566261
Boise St,0,10,3,10,HOME,0.650992768654197
Army,0,9,2,3,AWAY,0.592703055035996
Wyoming,0,6,6,8,AWAY,0.419358145826074
