opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,47,HOME,0.000769998244192226
Colorado St,1,3,9,38,HOME,0.161064288308334
Tennessee,1,5,7,26,AWAY,0.426213570238814
Mississippi St,1,8,4,7,AWAY,0.700152924782952
LSU,1,9,3,8,HOME,0.726814543315172
Vanderbilt,1,6,6,10,AWAY,0.536973229914925
South Carolina,1,7,5,4,HOME,0.552574974401991
FCS,1,8,106,53,HOME,0.000769998244192226
Florida St,1,5,7,27,AWAY,0.433535169304531
Kentucky,0,9,3,11,HOME,0.662329133530505
Georgia,0,11,2,19,NEUTRAL,0.853521788113883
Missouri,0,8,4,21,HOME,0.711730361401004
