opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,29,HOME,0.000769998244192226
Ohio,1,8,4,14,NEUTRAL,0.603861584109007
Louisville,1,2,10,24,HOME,0.229406836627335
Miami FL,1,7,5,3,HOME,0.540586158977233
Duke,1,7,5,14,AWAY,0.5192774409515
North Carolina,1,2,9,10,HOME,0.260469377823359
Liberty,1,6,6,21,HOME,0.340221082457989
Indiana,0,5,7,4,AWAY,0.423952308627547
NC State,0,9,3,14,AWAY,0.658476757405083
Pittsburgh,0,7,6,10,HOME,0.539907904792352
Georgia Tech,0,7,5,3,AWAY,0.524202622754867
Virginia Tech,0,6,6,3,AWAY,0.439317027736125
