opponent,result,win,loss,margin,location,opponent rating
FCS,1,8,106,48,HOME,0.000769998244192226
Charlotte,1,5,7,18,HOME,0.323727691666351
Connecticut,1,1,11,5,AWAY,0.0609382834729059
Liberty,1,6,6,3,HOME,0.340221082457989
Boston College,0,7,5,34,AWAY,0.583380130118003
Ga Southern,0,9,3,21,AWAY,0.580629140209413
Florida Intl,0,8,4,39,AWAY,0.475982875318223
Ohio,0,8,4,16,AWAY,0.603861584109007
South Florida,0,7,5,16,HOME,0.43506939815558
Coastal Car,0,5,7,11,HOME,0.311564379778839
BYU,0,6,6,19,HOME,0.468920807623431
Georgia,0,11,2,39,AWAY,0.853521788113883
