opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,8,HOME,0.107247264944998
E Michigan,1,7,5,3,AWAY,0.451471882561525
Ball St,1,4,8,8,AWAY,0.194642348013845
Ohio,1,8,4,3,HOME,0.603861584109007
BYU,1,6,6,1,AWAY,0.468920807623431
Akron,1,4,8,10,AWAY,0.227510841608756
Toledo,1,7,5,23,HOME,0.486054902807487
Buffalo,1,10,3,1,NEUTRAL,0.548891754404769
Iowa,0,8,4,26,AWAY,0.648865014312003
Utah,0,9,4,11,HOME,0.642840902543242
Florida St,0,5,7,18,AWAY,0.433535169304531
Miami OH,0,6,6,6,HOME,0.45837188133336
W Michigan,0,7,5,7,AWAY,0.460361066971564
