opponent,result,win,loss,margin,location,opponent rating
UNLV,1,4,8,13,HOME,0.242047874131288
FCS,0,8,106,6,HOME,0.000769998244192226
Washington St,0,10,2,31,AWAY,0.674582596015174
Oregon,0,8,4,13,AWAY,0.505073020726282
Hawaii,0,8,5,3,HOME,0.423791787116062
Colorado St,0,3,9,12,HOME,0.161064288308334
Army,0,9,2,49,HOME,0.592703055035996
San Diego St,0,7,5,3,AWAY,0.479206894566261
Wyoming,0,6,6,15,AWAY,0.419358145826074
Utah St,0,10,2,38,AWAY,0.667466493543272
Nevada,0,7,5,9,HOME,0.440983667473
Fresno St,0,11,2,18,AWAY,0.703094438818044
