opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-9-1,8,106,32,HOME,0.000769998244192226
Texas St,1,2018-10-6,3,9,15,AWAY,0.205154738347006
New Mexico St,1,2018-10-13,3,9,28,HOME,0.135628013475393
Arkansas St,1,2018-10-27,8,4,4,HOME,0.542798882966119
Georgia St,1,2018-11-10,2,10,14,HOME,0.192094577935086
South Alabama,1,2018-11-17,3,9,10,HOME,0.198141556916694
Mississippi St,0,2018-9-15,8,4,46,AWAY,0.700152924782952
Coastal Car,0,2018-9-22,5,7,2,HOME,0.311564379778839
Alabama,0,2018-9-29,13,0,42,AWAY,1
Appalachian St,0,2018-10-20,10,2,10,AWAY,0.659401122251941
Troy,0,2018-11-3,9,3,10,AWAY,0.559089094366952
