opponent,result,date,win,loss,margin,location,opponent rating
Navy,1,2018-9-22,3,9,1,HOME,0.324077406998877
FCS,1,2018-9-29,8,106,36,HOME,0.000769998244192226
Tulane,1,2018-10-20,6,6,4,AWAY,0.416988084377754
Houston,1,2018-11-3,8,4,14,HOME,0.525693614507003
Connecticut,1,2018-11-10,1,11,12,AWAY,0.0609382834729059
North Texas,0,2018-9-1,9,3,23,AWAY,0.566226921948455
TCU,0,2018-9-7,6,6,30,HOME,0.472750818076519
Michigan,0,2018-9-15,10,2,25,AWAY,0.822928100511648
UCF,0,2018-10-6,12,0,28,AWAY,0.824142322793354
Cincinnati,0,2018-10-27,10,2,6,HOME,0.662508498612961
Memphis,0,2018-11-16,8,5,10,HOME,0.555004023858093
Tulsa,0,2018-11-24,3,9,3,AWAY,0.248278564102298
