opponent,result,date,win,loss,margin,location,opponent rating
Charlotte,1,2018-9-8,5,7,36,AWAY,0.323727691666351
FCS,1,2018-9-22,8,106,65,HOME,0.000769998244192226
South Alabama,1,2018-9-29,3,9,45,HOME,0.198141556916694
Arkansas St,1,2018-10-9,8,4,26,AWAY,0.542798882966119
ULL,1,2018-10-20,6,5,10,HOME,0.470730482744223
Coastal Car,1,2018-11-3,5,7,16,AWAY,0.311564379778839
Texas St,1,2018-11-10,3,9,31,AWAY,0.205154738347006
Georgia St,1,2018-11-17,2,10,28,HOME,0.192094577935086
Troy,1,2018-11-24,9,3,11,HOME,0.559089094366952
FCS,1,2018-12-1,8,106,11,HOME,0.000769998244192226
Penn St,0,2018-9-1,9,3,7,AWAY,0.697394135264368
Ga Southern,0,2018-10-25,9,3,20,AWAY,0.580629140209413
