opponent,result,date,win,loss,margin,location,opponent rating
MTSU,1,2018-9-1,8,5,28,HOME,0.484435690225168
Nevada,1,2018-9-8,7,5,31,HOME,0.440983667473
FCS,1,2018-9-29,8,106,4,HOME,0.000769998244192226
Arkansas,1,2018-10-27,2,10,14,AWAY,0.269664580760485
Mississippi,1,2018-11-17,5,7,7,HOME,0.441826253707439
Tennessee,1,2018-11-24,5,7,25,HOME,0.426213570238814
Notre Dame,0,2018-9-15,12,0,5,AWAY,0.874948495859429
South Carolina,0,2018-9-22,7,5,23,HOME,0.552574974401991
Georgia,0,2018-10-6,11,2,28,AWAY,0.853521788113883
Florida,0,2018-10-13,9,3,10,HOME,0.651217922368491
Kentucky,0,2018-10-20,9,3,7,AWAY,0.662329133530505
Missouri,0,2018-11-10,8,4,5,AWAY,0.711730361401004
