opponent,result,date,win,loss,margin,location,opponent rating
FCS,1,2018-8-30,8,106,36,HOME,0.000769998244192226
Kent,1,2018-9-29,2,10,28,HOME,0.134175713618153
C Michigan,1,2018-10-13,1,11,1,AWAY,0.107247264944998
W Michigan,1,2018-11-13,7,5,1,HOME,0.460361066971564
Notre Dame,0,2018-9-8,12,0,8,AWAY,0.874948495859429
Indiana,0,2018-9-15,5,7,28,AWAY,0.423952308627547
WKU,0,2018-9-22,3,9,8,HOME,0.216702075652369
N Illinois,0,2018-10-6,8,5,8,HOME,0.512425574248057
E Michigan,0,2018-10-20,7,5,22,HOME,0.451471882561525
Ohio,0,2018-10-25,8,4,38,AWAY,0.603861584109007
Toledo,0,2018-10-31,7,5,32,AWAY,0.486054902807487
Miami OH,0,2018-11-20,6,6,21,AWAY,0.45837188133336
