opponent,result,date,win,loss,margin,location,opponent rating
Louisville,1,2018-9-1,2,10,37,NEUTRAL,0.229406836627335
Arkansas St,1,2018-9-8,8,4,50,HOME,0.542798882966119
Mississippi,1,2018-9-15,5,7,55,AWAY,0.441826253707439
Texas A&M,1,2018-9-22,8,4,22,HOME,0.612204350528535
ULL,1,2018-9-29,6,5,42,HOME,0.470730482744223
Arkansas,1,2018-10-6,2,10,34,AWAY,0.269664580760485
Missouri,1,2018-10-13,8,4,29,HOME,0.711730361401004
Tennessee,1,2018-10-20,5,7,37,AWAY,0.426213570238814
LSU,1,2018-11-3,9,3,29,AWAY,0.726814543315172
Mississippi St,1,2018-11-10,8,4,24,HOME,0.700152924782952
FCS,1,2018-11-17,8,106,33,HOME,0.000769998244192226
Auburn,1,2018-11-24,7,5,31,HOME,0.597819822758721
Georgia,1,2018-12-1,11,2,7,NEUTRAL,0.853521788113883
