opponent,result,date,win,loss,margin,location,opponent rating
SMU,1,2018-9-1,5,7,23,HOME,0.344428491763609
FCS,1,2018-9-8,8,106,42,HOME,0.000769998244192226
Arkansas,1,2018-9-15,2,10,27,AWAY,0.269664580760485
Liberty,1,2018-9-22,6,6,40,AWAY,0.340221082457989
UTEP,1,2018-10-6,1,11,3,AWAY,0
Southern Miss,1,2018-10-13,6,5,23,HOME,0.347237402073064
Rice,1,2018-10-27,2,11,24,HOME,0.087561129839736
FL Atlantic,1,2018-11-15,5,7,3,HOME,0.461693554039236
UT San Antonio,1,2018-11-24,3,9,3,AWAY,0.157072136220403
Louisiana Tech,0,2018-9-29,7,5,2,HOME,0.441140405717563
UAB,0,2018-10-20,10,3,8,AWAY,0.521923000912338
Old Dominion,0,2018-11-10,4,8,3,AWAY,0.249476996007373
